DP_PRIMARY_ID,HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,County Name,ZIP Code,Longitude,Latitude,
"112999128P","West Florida Medical Associates","112999128P","Rural Health Clinic","Primary Care","1","FL","Designated","09/30/2006","Levy County","34449-9463","-82.67164378","29.03179259"
"712999121L","Suncoast Community Health Centers","712999121L","Federally Qualified Health Center","Mental Health","14","FL","Designated","11/14/2003","Hillsborough County","33570-5471","-82.39471280","27.70573745"
"112999126V","Northeast Florida Health Services","112999126V","Federally Qualified Health Center","Primary Care","14","FL","Designated","09/30/2003","Volusia County","32180-2288","-81.46712149","29.24010866"
"112999121P","Camillus Health Concern, Inc.","112999121P","Federally Qualified Health Center","Primary Care","12","FL","Designated","11/14/2003","Miami-Dade County","33128-1616","-80.20034327","25.77873250"
"112999121L","Center for Family and Child Enrichment","112999121L","Federally Qualified Health Center","Primary Care","17","FL","Designated","11/01/2013","Miami-Dade County","33056-4838","-80.23108452","25.92718547"
"7129982588","Low Income-Lee County","7129982588","HPSA Population","Mental Health","16","FL","Designated","04/19/2016","","","",""
"1121610454","Low Income - Pasco County","1121610454","HPSA Population","Primary Care","12","FL","Designated","07/26/1979","","","",""
"712999126G","Children's Medical Center-Glen St. Mary","712999126G","Rural Health Clinic","Mental Health","0","FL","Designated","08/13/2008","Baker County","32040-5050","-82.15516798","30.27747169"
"112999128A","Four Freedoms Health Services","112999128A","Rural Health Clinic","Primary Care","7","FL","Designated","10/07/2003","Madison County","32340-2575","-83.41322893","30.47027326"
"71299912A1","Union Chd/New River Community Health Care Center","71299912A1","Federally Qualified Health Center","Mental Health","18","FL","Designated","06/01/2012","Union County","32054-1731","-82.33233945","30.02342890"
"1125865302","Low Income-Opa Locka","1125865302","HPSA Population","Primary Care","18","FL","Designated","09/08/2000","","","",""
"1129916915","Madison County","1129916915","High Needs Geographic HPSA","Primary Care","19","FL","Designated","07/24/1979","","","",""
"1128831187","Low Income - Sweetwater","1128831187","HPSA Population","Primary Care","12","FL","Designated","02/25/2002","","","",""
"112999126U","Duval County Health Department","112999126U","Federally Qualified Health Center","Primary Care","15","FL","Designated","09/30/2003","Duval County","32208-7209","-81.68718965","30.38628323"
"11299912B0","Immokalee Health Center","11299912B0","Native American/Tribal Facility/Population","Primary Care","16","FL","Designated","01/04/2013","Collier County","34142-4303","-81.41714080","26.39952900"
"712999122F","Pancare of Florida, Inc.","712999122F","Federally Qualified Health Center","Mental Health","21","FL","Designated","09/30/2005","Bay County","32401-3409","-85.65533074","30.16783948"
"7121662740","Low Income-Aspire Region 7 Mental Health Catchment Area","7121662740","HPSA Population","Mental Health","16","FL","Designated","06/05/2017","","","",""
"1126175213","Low Income - Escambia County","1126175213","HPSA Population","Primary Care","19","FL","Designated","12/26/2017","","","",""
"1122084006","Low Income-Sanford","1122084006","HPSA Population","Primary Care","17","FL","Designated","05/04/2018","","","",""
"112999129S","Children's Medical Center @ Alachua","112999129S","Rural Health Clinic","Primary Care","19","FL","Designated","08/13/2008","Alachua County","32615-8203","-82.48845981","29.79213328"
"112999127O","Primary Care Medical Services of Poinciana","112999127O","Federally Qualified Health Center","Primary Care","2","FL","Designated","09/30/2005","Osceola County","34744-4428","-81.36838349","28.30423651"
"712999126B","Escambia Community Clinics Inc.","712999126B","Federally Qualified Health Center","Mental Health","0","FL","Designated","09/01/2007","Escambia County","32501-1723","-87.22040041","30.43482785"
"1127747432","Low Income - Bradford County","1127747432","HPSA Population","Primary Care","20","FL","Designated","05/26/2004","","","",""
"1127554648","Callahan-Hilliard","1127554648","Geographic HPSA","Primary Care","10","FL","Designated","12/09/2010","","","",""
"712999121N","I.M. Sulzbacher Center for the Homeless","712999121N","Federally Qualified Health Center","Mental Health","10","FL","Designated","11/14/2003","Duval County","32202-2847","-81.64932781","30.32596608"
"11299912B3","Whole Family Health Center","11299912B3","Federally Qualified Health Center Look A Like","Primary Care","14","FL","Designated","11/29/2018","St. Lucie County","34950-3057","-80.32474188","27.45414813"
